index,image,title,location,price,condition
119716226,https://media.guitarcenter.com/is/image/MMGS7/FA235E-Acoustic-Electric-Guitar/000000119716226-00-600x600.jpg,Used Fender FA235E Acoustic Electric Guitar,"Evansville, IN",$229.99,Excellent
119714809,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-Koa-Acoustic-Guitar/000000119714809-00-600x600.jpg,Used Taylor GS Mini Koa Acoustic Guitar,"Crestwood, MO",$679.99,Excellent
119711605,https://media.guitarcenter.com/is/image/MMGS7/214CE-Acoustic-Electric-Guitar/000000119711605-00-600x600.jpg,Used Taylor 214CE Acoustic Electric Guitar,"Oxford Valley, PA",$999.99,Excellent
119686637,https://media.guitarcenter.com/is/image/MMGS7/Woodland-Bamboo-Grand-Auditorium-Acoustic-Electric-Guitar/000000119686637-00-600x600.jpg,Used Luna Woodland Bamboo Grand Auditorium Acoustic Electric Guitar,"Santa Maria, CA",$249.99,Excellent
119700549,https://media.guitarcenter.com/is/image/MMGS7/Used-TAGIMA-MONTREAL-EQ-Natural-Acoustic-Electric-Guitar/000000119700549-00-600x600.jpg,Used Used TAGIMA MONTREAL EQ Natural Acoustic Electric Guitar,"Alpharetta, GA",$379.99,Excellent
119700573,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-e-Acoustic-Electric-Guitar/000000119700573-00-600x600.jpg,Used Taylor GS Mini-e Acoustic Electric Guitar,"Memphis, TN",$649.99,Excellent
119705194,https://media.guitarcenter.com/is/image/MMGS7/D28-Acoustic-Guitar/000000119705194-00-600x600.jpg,Used Martin D28 Acoustic Guitar,"Katy, TX","$2,549.99",Excellent
119703643,https://media.guitarcenter.com/is/image/MMGS7/J200-Inspired-By-Acoustic-Electric-Guitar/000000119703643-00-600x600.jpg,Used Epiphone J200 Inspired By Acoustic Electric Guitar,"Salt Lake City, UT",$699.99,Excellent
119712605,https://media.guitarcenter.com/is/image/MMGS7/Wildwood-Concert-Satan-Ce-Acoustic-Electric-Guitar/000000119712605-00-600x600.jpg,Used Breedlove Wildwood Concert Satan Ce Acoustic Electric Guitar,"Fargo, ND",$599.99,Excellent
119712858,https://media.guitarcenter.com/is/image/MMGS7/GS-Mini-Koa-Acoustic-Guitar/000000119712858-00-600x600.jpg,Used Taylor GS Mini Koa Acoustic Guitar,"Rockford, IL",$799.99,Excellent
119700539,https://media.guitarcenter.com/is/image/MMGS7/American-Acoustasonic-Stratocaster-Acoustic-Electric-Guitar/000000119700539-00-600x600.jpg,Used Fender American Acoustasonic Stratocaster Acoustic Electric Guitar,"Memphis, TN","$1,369.99",Excellent
119686488,https://media.guitarcenter.com/is/image/MMGS7/DX1-175TH-SPECIAL-EDITION-Acoustic-Guitar/000000119686488-00-600x600.jpg,Used Martin DX1 175TH SPECIAL EDITION Acoustic Guitar,"Bakersfield, CA",$499.99,Excellent
119710243,https://media.guitarcenter.com/is/image/MMGS7/BT1E-Baby-Acoustic-Electric-Guitar/000000119710243-00-600x600.jpg,Used Taylor BT1E Baby Acoustic Electric Guitar,"Hobart, IN",$419.99,Excellent
119710791,https://media.guitarcenter.com/is/image/MMGS7/AC340L-Acoustic-Guitar/000000119710791-00-600x600.jpg,Used Ibanez AC340L Acoustic Guitar,"South Springfield, MO",$224.99,Excellent
119700393,https://media.guitarcenter.com/is/image/MMGS7/Murphy-Lab-1957-Sj200-Acoustic-Guitar/000000119700393-00-600x600.jpg,Used Gibson Murphy Lab 1957 Sj200 Acoustic Guitar,"Nashville, TN","$6,999.99",Excellent
119686494,https://media.guitarcenter.com/is/image/MMGS7/2022-ZAD-900CE-Acoustic-Electric-Guitar/000000119686494-00-600x600.jpg,Used Zager 2022 ZAD 900CE Acoustic Electric Guitar,"Tucson, AZ","$1,850.99",Excellent
